Gender,In which year of your studies are you currently enrolled:,BAC specialty,How many hours per week do you spend studying (personnal efforts):,Where do you prefer to study:,You prefer to study alone: ,What learning methods do help you understand better: ,What types of resources do you use most:,Do you use a planer or a schedule,Problems,2. Second:,3. Third:,4. Forth:,5. Fifth:,6. sixth:,7. seventh:,8. eighth,Rate your satisfaction with the schools program:,Do you engage in any external activities (not related to the study field):,Your level of motivation for joining ENSIA,How much do you like the field of Artificial Intelligence :,How do others feedbacks influence you:,How many hours do you sleep ,How well do you handle stress and pressure :,"In a scale of 1 to 10 how do you rate your level in the following fields:
1. English:","2. Programming:
",3. Computer science:,4. Mathematics,1Y_Intensive english,1Y_Seminar,1Y_CPSCT,1Y_Analysis I,1Y_Algebra,1Y_A. Com. I,1Y_Average S1,1Y_Intro. Prog. C++,1Y_Analysis II,1Y_A. Com. II,1Y_OOP,1Y_Linear Algebra,1Y_Proba Stat,1Y_Average S2,1Y_Average,2Y_Analysis III,2Y_DSA,2Y_Archi 1,2Y_Logic,2Y_Complexity,2Y_Proba Stat II,2Y_Lin. Alg II,2Y_DataBases,2Y_Average S1,2Y_Intro AI,2Y_Oper. res,2Y_Archi II,2Y_Oper. Syst,2Y_Soft. Eng.,2Y_Web Prog.,2Y_Intro. Busin.,2Y_Average S2,2Y_Average
Female,First year,Science,"10-17",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,No,Teachers' teaching method,Pressure,Bad quality of internet,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Teaching language,1,No,1,5,You do not care about,8 hours or more,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"10-17",At home,Alone,Online courses and tutorials,Online documents,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,2,No,4,4,Negatively,5-7 hours,2,7,6,6,5,Very High,High,High,Very High,High,High,15,Moderate,High,Very High,Moderate,Low,High,11,13,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"10-17",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Private life problems,Pressure,Not having a good (powerful) computer,Teaching language,Lack of time,3,Yes,3,3,You do not care about,5-7 hours,4,8,6,6,8,,,,,,,,,,,,,,,,Very High,High,Moderate,High,Moderate,Moderate,Moderate,High,High,Low,Moderate,Moderate,Moderate,Moderate,Moderate,High,9,11
Male,First year,Mathematics,"18-25",In the school's library,In peer,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Teaching language,Teachers' teaching method,Not having a good (powerful) computer,Private life problems,3,No,4,5,You do not care about,8 hours or more,3,5,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"18-25",In the dorms' library,Alone,"Learning by practicing, Online courses and tutorials","Books, Online documents",No,Bad quality of internet,Pressure,Lack of time,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,3,No,3,4,You do not care about,4 hours or less,3,9,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Science,"18-25",In your room (dorms),In peer,"Lectures, Learning by practicing","Books, Online documents, YouTube videos, other universities courses",No,Lack of time,Teachers' teaching method,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,Private life problems,3,Yes,4,3,You do not care about,8 hours or more,4,8,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Third year,Mathematics,"10-17",In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, YouTube videos",No,Bad quality of internet,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Teaching language,Pressure,Pressure,2,Yes,4,5,You do not care about,8 hours or more,3,6,8,7,7,,,,,,,,,,,,,,,,High,Moderate,High,Moderate,Moderate,Moderate,High,High,High,Moderate,High,High,High,High,High,High,12,12
Male,First year,Technical maths,"18-25",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Pressure,Teaching language,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,Bad quality of internet,Private life problems,Not having a good (powerful) computer,2,No,1,1,You do not care about,8 hours or more,5,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"10-17",In the school's library,Alone,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online documents, YouTube videos",No,Lack of time,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,2,Yes,2,4,You do not care about,5-7 hours,2,8,6,7,7,Very High,High,High,High,Moderate,High,13,High,High,Very High,Moderate,Moderate,Moderate,11,12,,,,,,,,,,,,,,,,,,
Female,Second year,Science,"18-25",In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online tutorials, YouTube videos",No,Teaching language,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Private life problems,2,No,4,5,Negatively,5-7 hours,5,6,3,2,5,High,High,High,High,Moderate,High,12,Low,High,High,Moderate,Low,Low,8,10,,,,,,,,,,,,,,,,,,
Male,First year,Science,"26-33",In your room (dorms),In peer,"Learning by practicing, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online tutorials, YouTube videos",Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Private life problems,Bad quality of internet,Not having a good (powerful) computer,3,Yes,4,4,You do not care about,5-7 hours,3,7,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Science,"26-33",In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Lack of time,Private life problems,Teaching language,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,2,No,3,4,Negatively,5-7 hours,3,6,8,7,6,High,High,High,High,High,High,14,High,High,High,High,Moderate,Low,12,12,,,,,,,,,,,,,,,,,,
Male,Third year,Mathematics,"18-25",In your room (dorms),Alone,"Learning by practicing, Project-based learning","Books, Online documents",No,Private life problems,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teachers' teaching method,Not having a good (powerful) computer,Lack of time,Bad quality of internet,Teaching language,3,Yes,4,5,You do not care about,5-7 hours,3,9,8,8,7,,,,,,,,,,,,,,,,Very High,High,High,Moderate,High,High,High,High,High,Low,Moderate,High,High,High,High,High,11,13
Male,First year,Science,"26-33",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Lack of time,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,Teaching language,3,Yes,3,4,You do not care about,5-7 hours,3,8,9,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"10-17",At home,Alone,"Learning by practicing, Project-based learning","Books, Online tutorials, Online documents, YouTube videos",No,Private life problems,Lack of time,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Teaching language,2,Yes,4,3,You do not care about,8 hours or more,3,7,7,7,7,High,High,High,Very High,Very High,High,15,High,Very High,Very High,High,Moderate,High,14,15,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"10-17",In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials",YouTube videos,Yes,Private life problems,Pressure,Bad quality of internet,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,1,No,1,1,Positively,8 hours or more,3,8,8,5,6,Very High,Very High,High,Very High,High,Very High,16,Very High,Very High,Very High,Very High,Moderate,High,15,15,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"34-41",In your room (dorms),Alone,Lectures,YouTube videos,Yes,Pressure,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Private life problems,3,No,3,3,You do not care about,5-7 hours,3,7,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"10-17",In your room (dorms),Alone,Learning by practicing,"Books, YouTube videos",Yes,Lack of time,Pressure,Teachers' teaching method,Bad quality of internet,Teaching language,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Private life problems,3,No,5,5,Positively,8 hours or more,1,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"18-25",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Bad quality of internet,Pressure,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,3,No,3,5,You do not care about,5-7 hours,2,9,6,6,5,,,,,,,,,,,,,,,,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,High,Moderate,Moderate,High,10,10
Female,Second year,Science,"More than 41 hours",In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of time,Bad quality of internet,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Not having a good (powerful) computer,3,Yes,4,5,Positively,5-7 hours,4,9,8,7,7,Very High,High,Very High,High,High,High,14,High,Very High,Very High,High,Moderate,High,14,14,,,,,,,,,,,,,,,,,,
Male,First year,Science,"More than 41 hours",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,Yes,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,Private life problems,Teaching language,Bad quality of internet,Not having a good (powerful) computer,2,No,3,2,You do not care about,4 hours or less,3,8,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Technical maths,"More than 41 hours",In the school's library,In peer,"Lectures, Learning by practicing",YouTube videos,No,Lack of previous knowledge or experience in the field,Pressure,Teachers' teaching method,Lack of time,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Private life problems,2,No,2,2,You do not care about,4 hours or less,1,6,7,3,9,High,High,High,Very High,High,High,15,High,Very High,High,High,High,High,14,15,,,,,,,,,,,,,,,,,,
Male,First year,Science,"10-17",In your room (dorms),Alone,Learning by practicing,"Online tutorials, YouTube videos",No,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Bad quality of internet,Teachers' teaching method,Private life problems,Teaching language,Not having a good (powerful) computer,3,No,3,4,Negatively,5-7 hours,2,9,7,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Technical maths,"10-17",In the school's library,Alone,"Lectures, Learning by practicing","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Private life problems,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,2,Yes,3,2,Negatively,5-7 hours,2,9,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Science,"10-17",At home,Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",No,Pressure,Lack of previous knowledge or experience in the field,Lack of time,Private life problems,Bad quality of internet,Teachers' teaching method,Not having a good (powerful) computer,Teaching language,2,No,2,3,Positively,5-7 hours,3,7,4,4,8,High,Very High,High,Very High,Very High,Moderate,16,High,Very High,High,High,High,Moderate,13,14,,,,,,,,,,,,,,,,,,
Male,First year,Technical maths,"10-17",In your room (dorms),Alone,"Mind mapping and visualization, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,3,Yes,2,2,Negatively,8 hours or more,4,6,7,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"More than 41 hours",In your room (dorms),Alone,Online courses and tutorials,Books,Yes,Teachers' teaching method,Lack of time,Pressure,Teaching language,Bad quality of internet,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Private life problems,1,No,1,3,Negatively,4 hours or less,1,5,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"10-17",In your room (dorms),Alone,Learning by practicing,"Books, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Teachers' teaching method,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Private life problems,3,No,5,5,Negatively,5-7 hours,3,4,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Mathematics,"10-17",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization",Online documents,No,Teachers' teaching method,Bad quality of internet,Lack of time,Private life problems,Not having a good (powerful) computer,Pressure,Lack of previous knowledge or experience in the field,Teaching language,1,No,3,4,Positively,5-7 hours,5,8,7,7,8,Very High,Very High,High,Very High,High,High,16,High,Very High,Very High,Very High,High,High,16,16,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"34-41",In your room (dorms),Alone,"Learning by practicing, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Teaching language,Not having a good (powerful) computer,3,Yes,3,5,You do not care about,5-7 hours,3,8,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Science,"More than 41 hours",In the school's library,Alone,"Learning by practicing, Mind mapping and visualization","Online documents, YouTube videos",Yes,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Private life problems,3,Yes,3,3,Negatively,4 hours or less,2,8,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"More than 41 hours",In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teachers' teaching method,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Not having a good (powerful) computer,2,No,5,4,You do not care about,5-7 hours,2,7,4,4,6,Very High,High,High,High,Moderate,Moderate,13,Moderate,Moderate,High,Moderate,Low,Very Low,9,10,,,,,,,,,,,,,,,,,,
Male,First year,Science,"10-17",In the school's library,In peer,Mind mapping and visualization,YouTube videos,No,Teaching language,Pressure,Bad quality of internet,Lack of time,Bad quality of internet,Not having a good (powerful) computer,Private life problems,Lack of previous knowledge or experience in the field,4,No,5,5,You do not care about,5-7 hours,5,3,7,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Technical maths,"More than 41 hours",In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,2,No,4,5,You do not care about,5-7 hours,3,7,7,8,6,,,,,,,,,,,,,,,,High,High,Moderate,High,High,Moderate,Moderate,High,High,Moderate,Moderate,High,High,High,High,High,12,12
Female,Second year,Science,"More than 41 hours",In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Books, Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Pressure,Lack of time,Teachers' teaching method,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,2,No,4,4,Positively,5-7 hours,3,7,5,4,4,High,High,High,High,Moderate,High,13,Moderate,Moderate,Very High,Moderate,Moderate,Low,10,11,,,,,,,,,,,,,,,,,,
Female,Third year,Technical maths,"10-17",At home,Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization","Online tutorials, Online documents",No,Pressure,Private life problems,Lack of previous knowledge or experience in the field,Lack of time,Not having a good (powerful) computer,Teachers' teaching method,Bad quality of internet,Teaching language,3,No,4,4,You do not care about,8 hours or more,3,9,8,7,5,,,,,,,,,,,,,,,,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Low,Moderate,Low,Moderate,Moderate,Moderate,High,9,10
Female,First year,Mathematics,"10-17",In the school's library,In peer,Learning by practicing,"Online tutorials, YouTube videos",No,Pressure,Lack of time,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Private life problems,Not having a good (powerful) computer,3,No,3,4,You do not care about,8 hours or more,4,4,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Mathematics,"10-17",In your room (dorms),Alone,Online courses and tutorials,"Books, YouTube videos",No,Bad quality of internet,Bad quality of internet,Bad quality of internet,Pressure,Bad quality of internet,Bad quality of internet,Bad quality of internet,Pressure,2,No,3,3,You do not care about,5-7 hours,3,8,7,7,9,,,,,,,,,,,,,,,,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,High,Moderate,Moderate,Moderate,9,9
Female,Second year,Science,"More than 41 hours",In your room (dorms),With a group,Learning by practicing,"Online tutorials, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Lack of time,Teachers' teaching method,Pressure,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2,No,3,4,You do not care about,5-7 hours,3,8,7,3,8,Very High,High,Very High,Very High,Moderate,High,15,High,High,High,High,Moderate,Moderate,12,13,,,,,,,,,,,,,,,,,,
Female,Second year,Science,"18-25",In your room (dorms),Alone,"Learning by practicing, Project-based learning","Books, Online tutorials, Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,Bad quality of internet,Private life problems,Teaching language,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,3,Yes,4,5,You do not care about,5-7 hours,3,9,9,9,7,Very High,High,High,Very High,High,High,15,High,High,Very High,High,Moderate,Moderate,13,14,,,,,,,,,,,,,,,,,,
Female,Third year,Technical maths,"18-25",In your room (dorms),Alone,"Learning by practicing, Project-based learning, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Private life problems,Not having a good (powerful) computer,Bad quality of internet,Lack of previous knowledge or experience in the field,Lack of time,Pressure,Teachers' teaching method,Teaching language,2,Yes,3,4,You do not care about,5-7 hours,3,7,6,6,6,,,,,,,,,,,,,,,,High,High,High,High,Moderate,Moderate,Moderate,High,High,Low,Moderate,Moderate,Moderate,High,Moderate,High,11,11
Female,Third year,Mathematics,"10-17",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, YouTube videos",No,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Lack of time,Pressure,Not having a good (powerful) computer,Teaching language,3,Yes,3,2,Positively,5-7 hours,3,9,8,7,7,,,,,,,,,,,,,,,,Very High,Very High,High,High,Very High,High,High,High,High,Moderate,High,High,High,High,Moderate,High,12,14
Female,Second year,Science,"26-33",At home,Alone,"Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2,No,2,3,You do not care about,5-7 hours,3,6,6,6,4,High,High,High,High,Moderate,High,12,High,High,Very High,High,Low,Moderate,11,12,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"10-17",In the school's library,Alone,Online courses and tutorials,Logic,No,Private life problems,Bad quality of internet,Lack of time,Pressure,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,3,Yes,3,4,You do not care about,8 hours or more,5,6,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Science,"18-25",In the school's library,With a group,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Bad quality of internet,Lack of time,Pressure,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Teaching language,3,No,4,4,Negatively,8 hours or more,4,8,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Mathematics,"18-25",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials",Online documents,Yes,Pressure,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Not having a good (powerful) computer,Teaching language,4,No,5,5,Positively,8 hours or more,4,8,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Science,"26-33",In your room (dorms),Alone,"Lectures, Learning by practicing, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Pressure,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Private life problems,Teaching language,Not having a good (powerful) computer,3,No,5,5,You do not care about,5-7 hours,3,9,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Technical maths,"10-17",In your room (dorms),In peer,"Learning by practicing, Online courses and tutorials",YouTube videos,Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Teachers' teaching method,Private life problems,Teaching language,Not having a good (powerful) computer,2,No,3,3,Negatively,5-7 hours,2,7,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Technical maths,"18-25",In your room (dorms),Alone,Learning by practicing,YouTube videos,Yes,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Bad quality of internet,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Private life problems,2,No,4,4,Positively,8 hours or more,3,8,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Third year,Mathematics,"10-17",At home,Alone,Online courses and tutorials,"Online tutorials, YouTube videos",No,Not having a good (powerful) computer,Pressure,Lack of time,Bad quality of internet,Teachers' teaching method,Teaching language,Private life problems,Lack of previous knowledge or experience in the field,1,Yes,1,5,You do not care about,5-7 hours,5,7,7,7,9,,,,,,,,,,,,,,,,Very High,High,High,High,High,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,High,High,Moderate,High,11,12
Male,Second year,Mathematics,"26-33",In the school's library,In peer,"Lectures, Learning by practicing, Mind mapping and visualization","Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Bad quality of internet,Private life problems,Not having a good (powerful) computer,2,Yes,4,4,Negatively,5-7 hours,4,7,9,7,8,High,High,Very High,Very High,High,High,15,Very High,High,Very High,High,High,High,14,14,,,,,,,,,,,,,,,,,,
Male,First year,Science,"10-17",In your room (dorms),Alone,Online courses and tutorials,"Online tutorials, YouTube videos",Yes,Private life problems,Teaching language,Lack of time,Bad quality of internet,Pressure,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Lack of time,3,No,3,3,You do not care about,5-7 hours,5,3,5,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Second year,Science,"26-33",In the school's library,Alone,"Learning by practicing, Interactive workshops","Online documents, YouTube videos",No,Pressure,Lack of time,Bad quality of internet,Private life problems,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Teaching language,2,Yes,3,4,Positively,5-7 hours,3,9,8,8,6,Very High,High,High,Very High,High,High,15,High,High,High,High,Moderate,High,13,14,,,,,,,,,,,,,,,,,,
Male,First year,Science,"10-17",In the school's library,Alone,"Project-based learning, Mind mapping and visualization","Online tutorials, YouTube videos",No,Lack of previous knowledge or experience in the field,Pressure,Private life problems,Lack of time,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,3,Yes,4,4,You do not care about,5-7 hours,3,7,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,First year,Science,"18-25",In the school's library,In peer,"Learning by practicing, Online courses and tutorials","Books, YouTube videos",No,Lack of time,Pressure,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Private life problems,Not having a good (powerful) computer,2,No,4,4,You do not care about,8 hours or more,3,8,8,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,First year,Mathematics,"18-25",In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Teaching language,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,Not having a good (powerful) computer,Pressure,Bad quality of internet,3,Yes,5,5,Positively,8 hours or more,3,6,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Third year,Technical maths,"26-33",In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Interactive workshops","Books, Online tutorials, Online documents",Yes,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Lack of time,Pressure,Teaching language,Not having a good (powerful) computer,Private life problems,3,Yes,4,5,You do not care about,5-7 hours,4,8,8,7,8,,,,,,,,,,,,,,,,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,High,High,Low,Moderate,Moderate,High,High,Moderate,High,11,11
Female,Second year,Science,"More than 41 hours",In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Pressure,Teaching language,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,Bad quality of internet,Not having a good (powerful) computer,2,No,3,3,Negatively,5-7 hours,4,4,4,6,5,High,High,Very High,Very High,High,High,15,High,Very High,Very High,High,Moderate,High,14,14,,,,,,,,,,,,,,,,,,
Female,Second year,Mathematics,"18-25",In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops","Books, Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of time,Bad quality of internet,Pressure,Private life problems,Teaching language,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,2,Yes,3,5,You do not care about,5-7 hours,4,8,8,7,9,Very High,Very High,High,Very High,Very High,High,17,Very High,Very High,Very High,Very High,Very High,Very High,18,17,,,,,,,,,,,,,,,,,,
Female,First year,Technical maths,"18-25",In the school's library,With a group,Learning by practicing,YouTube videos,No,Teachers' teaching method,Teaching language,Lack of time,Lack of previous knowledge or experience in the field,Pressure,Not having a good (powerful) computer,Bad quality of internet,Private life problems,2,No,4,4,You do not care about,5-7 hours,4,5,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,Second year,Science,"26-33",In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Online tutorials, Online documents",Yes,Lack of time,Pressure,Bad quality of internet,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Not having a good (powerful) computer,2,Yes,4,2,Negatively,5-7 hours,4,8,6,7,7,High,High,Very High,High,Moderate,High,14,Low,Moderate,Very High,High,High,Moderate,11,12,,,,,,,,,,,,,,,,,,
