Gender,In which year of your studies are you currently enrolled:,BAC specialty,How many hours per week do you spend studying (personnal efforts):,Where do you prefer to study:,You prefer to study alone: ,What learning methods do help you understand better: ,What types of resources do you use most:,Do you use a planer or a schedule,Problems,2. Second:,3. Third:,Rate your satisfaction with the schools program:,Do you engage in any external activities (not related to the study field):,Your level of motivation for joining ENSIA,How much do you like the field of Artificial Intelligence :,How do others feedbacks influence you:,How many hours do you sleep ,How well do you handle stress and pressure :,"In a scale of 1 to 10 how do you rate your level in the following fields:
1. English:","2. Programming:
",3. Computer science:,4. Mathematics,1Y_Average S1,1Y_Average S2,1Y_Average,2Y_Average S1,2Y_Average S2,2Y_Average,3Y_Average S1,3Y_Average S2,3Y_Average
Female,Third year,Technical maths,18-25,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Private life problems,Not having a good (powerful) computer,Bad quality of internet,2,Yes,3,4,You do not care about,5-7 hours,3,7,6,6,6,,,,High,11.0,11.0,,,
Female,Third year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, YouTube videos",No,Bad quality of internet,Lack of previous knowledge or experience in the field,Teachers' teaching method,3,Yes,3,2,Positively,5-7 hours,3,9,8,7,7,,,,High,12.0,14.0,,,
Female,Second year,Science,26-33,At home,Alone,"Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Teachers' teaching method,Pressure,2,No,2,3,You do not care about,5-7 hours,3,6,6,6,4,12.0,11.0,12.0,,,,,,
Male,First year,Mathematics,10-17,In the school's library,Alone,Online courses and tutorials,Logic,No,Private life problems,Bad quality of internet,Lack of time,3,Yes,3,4,You do not care about,8 hours or more,5,6,7,6,7,,,,,,,,,
Female,First year,Science,18-25,In the school's library,With a group,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Bad quality of internet,Lack of time,Pressure,3,No,4,4,Negatively,8 hours or more,4,8,5,5,7,,,,,,,,,
Female,First year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials",Online documents,Yes,Pressure,Teachers' teaching method,Lack of time,4,No,5,5,Positively,8 hours or more,4,8,7,7,7,,,,,,,,,
Male,First year,Science,26-33,In your room (dorms),Alone,"Lectures, Learning by practicing, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Pressure,Teachers' teaching method,Lack of time,3,No,5,5,You do not care about,5-7 hours,3,9,7,7,6,,,,,,,,,
Female,First year,Technical maths,10-17,In your room (dorms),In peer,"Learning by practicing, Online courses and tutorials",YouTube videos,Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,2,No,3,3,Negatively,5-7 hours,2,7,4,2,2,,,,,,,,,
Male,First year,Technical maths,18-25,In your room (dorms),Alone,Learning by practicing,YouTube videos,Yes,Lack of time,Lack of previous knowledge or experience in the field,Pressure,2,No,4,4,Positively,8 hours or more,3,8,7,7,6,,,,,,,,,
Male,Third year,Mathematics,10-17,At home,Alone,Online courses and tutorials,"Online tutorials, YouTube videos",No,Not having a good (powerful) computer,Pressure,Lack of time,1,Yes,1,5,You do not care about,5-7 hours,5,7,7,7,9,,,,High,11.0,12.0,,,
Male,Second year,Mathematics,26-33,In the school's library,In peer,"Lectures, Learning by practicing, Mind mapping and visualization","Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of time,Lack of previous knowledge or experience in the field,2,Yes,4,4,Negatively,5-7 hours,4,7,9,7,8,15.0,14.0,14.0,,,,,,
Male,First year,Science,10-17,In your room (dorms),Alone,Online courses and tutorials,"Online tutorials, YouTube videos",Yes,Private life problems,Teaching language,Lack of time,3,No,3,3,You do not care about,5-7 hours,5,3,5,6,3,,,,,,,,,
Male,Second year,Science,26-33,In the school's library,Alone,"Learning by practicing, Interactive workshops","Online documents, YouTube videos",No,Pressure,Lack of time,Bad quality of internet,2,Yes,3,4,Positively,5-7 hours,3,9,8,8,6,15.0,13.0,14.0,,,,,,
Male,First year,Science,10-17,In the school's library,Alone,"Project-based learning, Mind mapping and visualization","Online tutorials, YouTube videos",No,Lack of previous knowledge or experience in the field,Pressure,Private life problems,3,Yes,4,4,You do not care about,5-7 hours,3,7,5,4,4,,,,,,,,,
Female,First year,Science,18-25,In the school's library,In peer,"Learning by practicing, Online courses and tutorials","Books, YouTube videos",No,Lack of time,Pressure,Bad quality of internet,2,No,4,4,You do not care about,8 hours or more,3,8,8,7,8,,,,,,,,,
Male,First year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Teaching language,Lack of previous knowledge or experience in the field,3,Yes,5,5,Positively,8 hours or more,3,6,7,6,6,,,,,,,,,
Female,Third year,Technical maths,26-33,In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Interactive workshops","Books, Online tutorials, Online documents",Yes,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,3,Yes,4,5,You do not care about,5-7 hours,4,8,8,7,8,,,,High,11.0,11.0,,,
Female,Second year,Science,More than 41 hours,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Pressure,Teaching language,2,No,3,3,Negatively,5-7 hours,4,4,4,6,5,15.0,14.0,14.0,,,,,,
Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops","Books, Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of time,Bad quality of internet,2,Yes,3,5,You do not care about,5-7 hours,4,8,8,7,9,17.0,18.0,17.0,,,,,,
Female,First year,Technical maths,18-25,In the school's library,With a group,Learning by practicing,YouTube videos,No,Teachers' teaching method,Teaching language,Lack of time,2,No,4,4,You do not care about,5-7 hours,4,5,6,6,7,,,,,,,,,
Female,Second year,Science,26-33,In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Online tutorials, Online documents",Yes,Lack of time,Pressure,Bad quality of internet,2,Yes,4,2,Negatively,5-7 hours,4,8,6,7,7,14.0,11.0,12.0,,,,,,
Male,First year,Mathematics,10-17,In your room (dorms),In peer,Mind mapping and visualization,YouTube videos,No,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,3,Yes,3,3,You do not care about,5-7 hours,3,7,7,7,6,,,,,,,,,
Male,First year,Science,26-33,In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Lack of time,3,Yes,4,5,Positively,5-7 hours,5,8,8,10,5,,,,,,,,,
Male,Second year,Mathematics,18-25,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, YouTube videos",No,Lack of previous knowledge or experience in the field,Private life problems,Pressure,2,No,4,5,You do not care about,5-7 hours,2,9,4,5,7,13.0,11.0,12.0,,,,,,
Male,Second year,Mathematics,18-25,In the school's library,In peer,"Lectures, Learning by practicing, Project-based learning","Books, Online documents, YouTube videos",No,Private life problems,Teachers' teaching method,Pressure,1,No,4,5,Negatively,8 hours or more,2,8,7,8,3,15.0,13.0,13.0,,,,,,
Male,First year,Mathematics,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Online documents, YouTube videos",No,Lack of time,Bad quality of internet,Pressure,4,No,4,4,You do not care about,5-7 hours,4,6,7,6,7,,,,,,,,,
Male,Second year,Mathematics,10-17,At home,Alone,Learning by practicing,YouTube videos,No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,2,Yes,3,5,You do not care about,5-7 hours,2,7,5,5,3,12.0,11.0,11.0,,,,,,
Male,Third year,Mathematics,18-25,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online documents, YouTube videos",No,Private life problems,Pressure,Lack of time,3,No,4,4,You do not care about,8 hours or more,3,7,8,7,7,,,,Very High,15.0,16.0,,,
Male,First year,Mathematics,10-17,In your room (dorms),Alone,Lectures,Pdf course ,No,Pressure,Not having a good (powerful) computer,Bad quality of internet,3,No,3,3,You do not care about,5-7 hours,5,7,9,8,10,,,,,,,,,
Male,First year,Science,26-33,In the school's library,Alone,Online courses and tutorials,YouTube videos,Yes,Private life problems,Bad quality of internet,Pressure,4,No,5,5,Positively,5-7 hours,3,8,8,8,9,,,,,,,,,
Female,First year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, YouTube videos",No,Lack of time,Teaching language,Pressure,2,Yes,4,5,Positively,5-7 hours,4,8,5,5,5,,,,,,,,,
Male,Third year,Mathematics,18-25,In your room (dorms),With a group,Learning by practicing,Just lectures nothing else ,Yes,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,2,No,3,4,Positively,5-7 hours,4,7,5,5,7,,,,High,14.0,14.0,,,
Female,First year,Science,More than 41 hours,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops","Online documents, YouTube videos, The Indian guy on YouTube ??",Yes,Pressure,Lack of time,Not having a good (powerful) computer,2,No,5,5,Negatively,4 hours or less,1,3,8,7,1,,,,,,,,,
Female,First year,Mathematics,26-33,In the school's library,Alone,Mind mapping and visualization,YouTube videos,Yes,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of time,4,No,4,4,Positively,5-7 hours,3,8,6,6,7,,,,,,,,,
Female,First year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing,YouTube videos,No,Pressure,Lack of time,Lack of previous knowledge or experience in the field,2,No,3,4,You do not care about,5-7 hours,2,5,5,5,5,,,,,,,,,
Female,Third year,Mathematics,10-17,At home,With a group,"Lectures, Learning by practicing, Interactive workshops","Books, Online tutorials, YouTube videos",No,Lack of time,Lack of previous knowledge or experience in the field,Pressure,3,Yes,3,3,Positively,5-7 hours,3,5,5,5,5,,,,High,11.0,12.0,,,
Female,First year,Science,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos, Private courses",Yes,Teachers' teaching method,Not having a good (powerful) computer,Bad quality of internet,1,Yes,1,3,You do not care about,4 hours or less,5,5,1,1,1,,,,,,,,,
Male,First year,Mathematics,18-25,In your room (dorms),Alone,"Mind mapping and visualization, Interactive workshops",YouTube videos,No,Lack of time,Teaching language,Pressure,2,No,3,1,Positively,8 hours or more,4,6,3,4,1,,,,,,,,,
Female,Third year,Mathematics,10-17,In the school's library,Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teachers' teaching method,1,Yes,2,4,Positively,5-7 hours,2,7,7,6,8,,,,High,12.0,12.0,,,
Male,First year,Mathematics,26-33,In the school's library,Alone,Learning by practicing,Online documents,No,Lack of time,Pressure,Private life problems,3,No,4,3,Positively,5-7 hours,3,6,9,8,7,,,,,,,,,
Male,First year,Mathematics,18-25,In your room (dorms),Alone,Online courses and tutorials,YouTube videos,Yes,Teachers' teaching method,Lack of previous knowledge or experience in the field,Lack of time,3,No,5,5,Positively,5-7 hours,4,7,6,6,6,,,,,,,,,
Female,First year,Mathematics,10-17,At home,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, YouTube videos",No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,2,Yes,1,2,You do not care about,5-7 hours,3,8,4,2,6,,,,,,,,,
Female,Second year,Science,18-25,In your room (dorms),Alone,Learning by practicing,YouTube videos,Yes,Pressure,Lack of time,Bad quality of internet,3,No,4,4,You do not care about,5-7 hours,3,7,6,6,8,12.0,11.0,11.0,,,,,,
Male,First year,Science,18-25,In your room (dorms),Alone,"Lectures, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of time,3,Yes,4,4,You do not care about,5-7 hours,3,8,8,8,4,,,,,,,,,
Male,First year,Science,34-41,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,No,Pressure,Lack of time,Teachers' teaching method,3,Yes,5,5,You do not care about,5-7 hours,3,7,9,8,7,,,,,,,,,
Female,First year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Teaching language,Bad quality of internet,Pressure,4,No,4,5,You do not care about,5-7 hours,4,1,9,6,10,,,,,,,,,
Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops","Books, Online documents, YouTube videos",Yes,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,2,Yes,3,3,Negatively,5-7 hours,4,6,5,3,3,12.0,10.0,11.0,,,,,,
Female,Second year,Science,18-25,In the school's library,Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online documents, YouTube videos",No,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,3,No,3,3,Negatively,5-7 hours,4,7,5,6,6,14.0,13.0,13.0,,,,,,
Male,First year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Interactive workshops, Online courses and tutorials","Online documents, YouTube videos",No,Bad quality of internet,Pressure,Lack of time,3,No,4,5,Positively,5-7 hours,3,4,6,6,6,,,,,,,,,
Male,Third year,Technical maths,18-25,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Bad quality of internet,Pressure,Lack of time,2,No,3,4,You do not care about,8 hours or more,3,8,7,6,6,,,,High,12.0,13.0,,,
Male,Second year,Science,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials",YouTube videos,No,Pressure,Lack of time,Lack of previous knowledge or experience in the field,3,Yes,4,4,You do not care about,5-7 hours,3,6,8,5,4,15.0,14.0,14.0,,,,,,
Female,Third year,Mathematics,10-17,In your room (dorms),In peer,"Lectures, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Bad quality of internet,Lack of time,Private life problems,2,Yes,1,4,You do not care about,8 hours or more,2,8,6,7,8,,,,High,13.0,13.0,,,
Female,Third year,Mathematics,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization","Online documents, YouTube videos",No,Pressure,Private life problems,Lack of time,3,Yes,4,4,You do not care about,8 hours or more,3,8,8,7,7,,,,High,12.0,13.0,,,
Male,First year,Mathematics,26-33,At home,In peer,"Learning by practicing, Mind mapping and visualization","Online tutorials, Online documents, YouTube videos",No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,3,No,4,5,Negatively,5-7 hours,3,5,3,3,7,,,,,,,,,
Female,First year,Mathematics,18-25,In the school's library,In peer,"Learning by practicing, Interactive workshops","Online tutorials, YouTube videos",No,Pressure,Teachers' teaching method,Bad quality of internet,3,No,4,4,You do not care about,5-7 hours,4,6,5,5,8,,,,,,,,,
Female,First year,Science,18-25,In your room (dorms),Alone,Learning by practicing,YouTube videos,Yes,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,3,No,4,5,You do not care about,5-7 hours,5,8,8,7,7,,,,,,,,,
Male,First year,Mathematics,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials","Books, Online documents, YouTube videos",No,Private life problems,Pressure,Lack of time,3,Yes,4,5,You do not care about,5-7 hours,4,8,5,7,7,,,,,,,,,
Female,Second year,Mathematics,10-17,At home,Alone,"Lectures, Learning by practicing, Project-based learning","Books, YouTube videos",Yes,Lack of time,Pressure,Lack of previous knowledge or experience in the field,3,No,3,5,Positively,8 hours or more,3,7,6,6,5,13.0,10.0,11.0,,,,,,
Male,First year,Science,10-17,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Bad quality of internet,Lack of time,Pressure,3,No,4,4,Positively,5-7 hours,3,6,7,6,5,,,,,,,,,
Male,First year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Interactive workshops, Online courses and tutorials","Online tutorials, YouTube videos",No,Bad quality of internet,Teaching language,Teachers' teaching method,3,No,3,4,Positively,8 hours or more,2,6,7,7,8,,,,,,,,,
Female,First year,Science,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Teaching language,Pressure,Lack of time,1,No,3,5,You do not care about,5-7 hours,1,5,5,5,3,,,,,,,,,
Female,Second year,Mathematics,26-33,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Teachers' teaching method,Lack of time,2,Yes,4,2,You do not care about,5-7 hours,4,8,5,5,8,13.0,10.0,11.0,,,,,,
Male,First year,Mathematics,10-17,In your room (dorms),Alone,Online courses and tutorials,YouTube videos,Yes,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,3,Yes,4,4,You do not care about,5-7 hours,4,8,6,5,5,,,,,,,,,
Male,First year,Science,10-17,In the school's library,Alone,Learning by practicing,YouTube videos,No,Lack of time,Pressure,Teachers' teaching method,4,Yes,2,3,You do not care about,8 hours or more,3,7,4,5,6,,,,,,,,,
Female,Third year,Mathematics,10-17,In the school's library,Alone,"Lectures, Learning by practicing","Books, YouTube videos",No,Private life problems,Bad quality of internet,Lack of previous knowledge or experience in the field,3,No,1,1,Negatively,8 hours or more,3,8,8,6,2,,,,Moderate,11.0,11.0,,,
Female,Third year,Mathematics,34-41,In your room (dorms),Alone,Online courses and tutorials,"Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of time,Teachers' teaching method,2,No,2,3,You do not care about,5-7 hours,3,6,6,6,5,,,,High,12.0,13.0,,,
Female,Second year,Mathematics,10-17,At home,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos, asking friends ",Yes,Private life problems,Pressure,Lack of time,2,Yes,5,4,Negatively,5-7 hours,1,7,5,3,4,13.0,10.0,11.0,,,,,,
Male,First year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning","Online tutorials, YouTube videos",No,Pressure,Lack of time,Private life problems,4,Yes,5,5,You do not care about,5-7 hours,3,6,5,4,5,,,,,,,,,
Female,Third year,Mathematics,34-41,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Lack of time,Bad quality of internet,Pressure,2,No,4,4,You do not care about,8 hours or more,2,7,6,9,8,,,,Moderate,10.0,10.0,,,
Female,First year,Technical maths,26-33,In the school's library,In peer,"Learning by practicing, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Pressure,Lack of previous knowledge or experience in the field,2,No,1,1,Negatively,5-7 hours,3,6,5,4,8,,,,,,,,,
Male,First year,Mathematics,More than 41 hours,In the school's library,Alone,"Lectures, Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,3,Yes,4,4,Positively,5-7 hours,4,8,9,8,10,,,,,,,,,
Female,First year,Mathematics,10-17,In your room (dorms),Alone,Online courses and tutorials,"Books, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Lack of time,1,Yes,5,5,Positively,5-7 hours,5,6,6,6,8,,,,,,,,,
Female,Third year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,3,No,3,5,Positively,5-7 hours,4,9,8,8,7,,,,High,13.0,14.0,,,
Male,Third year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, YouTube videos",No,Pressure,Teachers' teaching method,Lack of time,3,Yes,5,5,You do not care about,5-7 hours,3,9,10,10,6,,,,High,14.0,14.0,,,
Female,First year,Mathematics,More than 41 hours,In the school's library,Alone,"Learning by practicing, Mind mapping and visualization","Online documents, YouTube videos",No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,3,No,5,5,Negatively,5-7 hours,1,9,9,8,5,,,,,,,,,
Male,Second year,Mathematics,More than 41 hours,In the dorms' library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Teachers' teaching method,Teaching language,Pressure,1,Yes,5,1,Negatively,5-7 hours,1,4,8,7,9,11.0,10.0,11.0,,,,,,
Female,First year,Technical maths,10-17,In your room (dorms),Alone,"Lectures, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of time,Pressure,Teachers' teaching method,2,No,4,3,You do not care about,5-7 hours,2,6,4,4,4,,,,,,,,,
Female,Second year,Mathematics,34-41,In the school's library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,2,Yes,3,3,Positively,5-7 hours,2,9,3,4,7,14.0,12.0,13.0,,,,,,
Female,First year,Mathematics,10-17,In the school's library,With a group,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Lack of time,Pressure,Teachers' teaching method,2,Yes,3,4,You do not care about,8 hours or more,1,7,6,6,7,,,,,,,,,
Male,First year,Mathematics,More than 41 hours,In the school's library,Alone,"Lectures, Learning by practicing, Project-based learning","Books, Lectures",Yes,Bad quality of internet,Bad quality of internet,Bad quality of internet,3,Yes,5,5,Positively,5-7 hours,4,6,6,6,7,,,,,,,,,
Female,Second year,Science,18-25,In your room (dorms),Alone,"Lectures, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Pressure,Lack of time,Teachers' teaching method,2,No,3,3,You do not care about,5-7 hours,2,9,6,7,7,13.0,11.0,12.0,,,,,,
Female,Second year,Mathematics,10-17,In your room (dorms),In peer,Learning by practicing,"Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,2,Yes,5,4,Positively,5-7 hours,1,8,3,3,6,14.0,10.0,12.0,,,,,,
Male,First year,Science,10-17,At home,Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization","Books, YouTube videos, Mentors, experts and my parents.",Yes,Teachers' teaching method,Bad quality of internet,Pressure,3,No,5,5,You do not care about,4 hours or less,3,7,8,8,6,,,,,,,,,
Male,Second year,Science,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Teachers' teaching method,Teachers' teaching method,Teachers' teaching method,1,Yes,1,3,You do not care about,5-7 hours,5,9,9,9,8,14.0,13.0,13.0,,,,,,
Female,First year,Technical maths,More than 41 hours,At home,Alone,Learning by practicing,YouTube videos,No,Lack of previous knowledge or experience in the field,Teaching language,Teachers' teaching method,2,Yes,2,2,Positively,4 hours or less,1,5,4,3,6,,,,,,,,,
Male,First year,Mathematics,10-17,In your room (dorms),Alone,Lectures,YouTube videos,No,Teachers' teaching method,Teachers' teaching method,Teachers' teaching method,2,Yes,5,5,You do not care about,5-7 hours,5,7,8,8,7,,,,,,,,,
Female,Third year,Mathematics,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing",Online documents,Yes,Bad quality of internet,Lack of previous knowledge or experience in the field,Private life problems,4,No,4,4,You do not care about,5-7 hours,3,9,8,9,4,,,,High,13.0,13.0,,,
Female,Second year,Science,18-25,In your room (dorms),Alone,"Lectures, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Lack of time,Bad quality of internet,4,Yes,4,5,Positively,5-7 hours,3,7,6,6,6,16.0,13.0,14.0,,,,,,
Female,First year,Technical maths,26-33,In your room (dorms),Alone,Online courses and tutorials,YouTube videos,Yes,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,2,Yes,3,4,Negatively,8 hours or more,1,7,1,1,1,,,,,,,,,
Female,First year,Mathematics,10-17,In your room (dorms),Alone,Online courses and tutorials,YouTube videos,No,Private life problems,Teachers' teaching method,Lack of previous knowledge or experience in the field,2,No,2,2,Negatively,8 hours or more,2,8,7,7,7,,,,,,,,,
Female,Second year,Mathematics,18-25,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",No,Teachers' teaching method,Pressure,Lack of time,2,Yes,1,3,You do not care about,5-7 hours,4,10,7,7,8,,,,Moderate,7.0,9.0,,,
Female,First year,Science,10-17,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,No,Teaching language,Private life problems,Lack of time,1,No,2,4,Negatively,5-7 hours,2,8,3,5,1,,,,,,,,,
Male,First year,Mathematics,18-25,In the school's library,Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization","Books, Online documents, YouTube videos",Yes,Lack of time,Teachers' teaching method,Teaching language,3,Yes,3,4,Positively,8 hours or more,3,9,8,7,4,,,,,,,,,
Female,First year,Technical maths,10-17,In the school's library,In peer,Learning by practicing,"Online documents, YouTube videos",Yes,Lack of time,Teachers' teaching method,Teaching language,1,Yes,1,4,Negatively,5-7 hours,4,4,3,3,2,,,,,,,,,
Male,First year,Mathematics,26-33,In the school's library,Alone,"Lectures, Learning by practicing, Project-based learning",Online documents,No,Teachers' teaching method,Lack of time,Lack of previous knowledge or experience in the field,3,Yes,5,4,Positively,8 hours or more,5,8,8,8,6,,,,,,,,,
Male,Third year,Technical maths,10-17,In the school's library,In peer,"Lectures, Learning by practicing, Project-based learning, Interactive workshops","Books, Online tutorials, YouTube videos",No,Teachers' teaching method,Lack of time,Bad quality of internet,3,Yes,4,5,You do not care about,5-7 hours,5,7,6,7,7,,,,High,13.0,13.0,,,
Male,First year,Mathematics,26-33,In your room (dorms),With a group,"Learning by practicing, Interactive workshops","Books, Online documents, YouTube videos",No,Lack of time,Bad quality of internet,Pressure,3,No,4,5,You do not care about,4 hours or less,3,7,8,7,6,,,,,,,,,
Female,Third year,Mathematics,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization","Online tutorials, YouTube videos",Yes,Not having a good (powerful) computer,Bad quality of internet,Teachers' teaching method,2,No,4,4,Negatively,5-7 hours,2,10,5,6,6,,,,Moderate,11.0,11.0,,,
Female,First year,Mathematics,18-25,In the school's library,In peer,"Learning by practicing, Mind mapping and visualization",YouTube videos,No,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,2,No,2,2,Positively,5-7 hours,3,5,4,3,2,,,,,,,,,
Female,First year,Science,18-25,In the school's library,Alone,Online courses and tutorials,Online documents,No,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,2,No,4,5,Positively,5-7 hours,4,5,6,4,4,,,,,,,,,
Female,First year,Science,10-17,At home,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Lack of time,Pressure,1,No,5,4,Negatively,5-7 hours,5,3,1,1,2,,,,,,,,,
Female,Third year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Pressure,Teachers' teaching method,Lack of time,2,Yes,3,4,You do not care about,8 hours or more,4,8,7,7,9,,,,High,10.0,11.0,,,
